"id","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","call"
"ENSMUSG00000000915","Hip1r",135.175464321392,0.330683111605633,0.315755981782276,1.04727425823923,0.294973104956,0.658561432431843,"NS"
"ENSMUSG00000000916","Nsun5",193.585955738732,0.00406891145236194,0.250077532461649,0.0162705998108244,0.987018512388569,0.996075851060231,"NS"
"ENSMUSG00000000934","Top1mt",23.7328785819892,0.840596472843141,0.677911940055304,1.23997885739343,0.214983214364026,NA,"NS"
"ENSMUSG00000000948","Gm38393",9.45240658946718,3.04010715811401,1.29891527243511,2.34049689200639,0.0192580987015477,NA,"NS"
"ENSMUSG00000000957","Mmp14",10.0068496174608,-1.79269571203571,1.28247401896322,-1.39784173833398,0.162160597470029,NA,"NS"
"ENSMUSG00000000958","Slc7a7",36.3980233664754,2.09635935659224,0.741605378794925,2.8267855338357,0.0047017805749505,NA,"NS"
"ENSMUSG00000000959","Oxa1l",405.711083154962,0.0170763303306055,0.156300381350213,0.109253286416132,0.913001596766782,0.974597270060628,"NS"
"ENSMUSG00000000976","Heatr6",231.266363128852,0.0326829261319955,0.203083956501049,0.160933077605402,0.872146109692154,0.961568175384922,"NS"
"ENSMUSG00000000982","Ccl3",2.73102858485974,-1.26272733208467,2.67064738801943,-0.472816942344872,0.636343785627346,NA,"NS"
"ENSMUSG00000001014","Icam4",9196.89357988351,-0.134602806805935,0.110431343489664,-1.21888227157657,0.222888879384582,0.589361080951409,"NS"
"ENSMUSG00000001016","Ilf2",1396.01902869961,0.118084568996125,0.126832525343547,0.9310275000539,0.351839339134424,0.697404132590757,"NS"
"ENSMUSG00000001017","Chtop",2862.21863341452,0.0809973085828164,0.110494068431667,0.733046666961203,0.463529967007019,0.77209256114046,"NS"
"ENSMUSG00000001018","Snapin",116.100564809434,0.115259871217165,0.263249789351228,0.437834618980018,0.661506173456419,0.880056055873813,"NS"
"ENSMUSG00000001025","S100a6",1.9739818623081,-0.946646484587934,2.04055270683753,-0.463916703261763,0.642707425178225,NA,"NS"
"ENSMUSG00000001029","Icam2",9.26944626041037,-0.614868980507919,1.17213663335083,-0.524571080719634,0.599881394829331,NA,"NS"
"ENSMUSG00000001034","Mapk7",172.76124175491,0.0631807008066681,0.251894328668251,0.250822244155716,0.801951542858001,0.938633611590039,"NS"
"ENSMUSG00000001036","Epn2",8.07818432276575,0.572078466641762,0.990108621570685,0.577793642210922,0.563403448195983,NA,"NS"
"ENSMUSG00000001039","B9d1",5.43611234254441,-0.729771692727496,1.14160223372508,-0.639252159087173,0.52265890542917,NA,"NS"
"ENSMUSG00000001052","Sec24b",603.511417981073,-0.176388505398306,0.192561299848518,-0.916012228506273,0.359660481151183,0.702696031207488,"NS"
"ENSMUSG00000001054","Rmnd5b",313.617651158457,-0.0128080225162314,0.201905007690602,-0.0634358833529195,0.949419413995881,0.986109181686441,"NS"
"ENSMUSG00000001056","Nhp2",880.334244162662,-0.172842124673146,0.254432868683905,-0.679323098337097,0.496933164062782,0.793664941645773,"NS"
"ENSMUSG00000001062","Vps9d1",116.599397169393,0.53416660427496,0.297824198304178,1.79356347575692,0.0728828706306422,0.358974544134591,"NS"
"ENSMUSG00000001065","Zfp276",353.42444527934,0.22787099244303,0.186921783848846,1.21907135568157,0.22281711069318,0.589361080951409,"NS"
"ENSMUSG00000001082","Mfsd10",519.217608411244,0.543362105068795,0.192878669158033,2.81711869664342,0.0048456613996378,0.0905713568441078,"NS"
"ENSMUSG00000001089","Luzp1",100.044179246138,0.032654995366604,0.381845810475626,0.0855187996587656,0.931848950253903,0.97968801472477,"NS"
"ENSMUSG00000001098","Kctd10",263.941778785398,-0.0460905432325774,0.191928362921676,-0.24014451293677,0.810218227316786,0.940770656955015,"NS"
"ENSMUSG00000001100","Poldip2",409.95636029205,0.105049090242642,0.178581242504841,0.588242576707314,0.556369482918491,0.827332540048687,"NS"
"ENSMUSG00000001105","Ift20",912.399330529334,-0.0556173469692833,0.141590968364524,-0.392802928122487,0.694465041825154,0.895220718703655,"NS"
"ENSMUSG00000001120","Pcbp3",41.3584544731062,0.630042619647355,0.614719622544559,1.02492680653233,0.305397724964024,NA,"NS"
