p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.789691046121718e-85,-0.8640419173468235,0.813,0.916,7.756739633201933e-81,Hmgb1
7.824469027718794e-84,-0.8918790480387384,0.755,0.894,1.6015123205934828e-79,Tubb5
9.809494421885644e-83,-0.7560884495452604,0.824,0.93,2.0078073182715538e-78,Mif
2.4284914113131878e-82,-0.7092445005427612,0.838,0.931,4.970636220675833e-78,Eif5a
3.7100903209571976e-82,0.8541937845692702,0.831,0.584,7.593812868935192e-78,Ctsd
4.447137869304719e-82,7.453640622250825,0.123,0.002,9.1024017908929e-78,Chad
5.471606572921789e-82,-0.5466901000435576,0.913,0.958,1.1199284333456317e-77,Tmed2
7.999731700323336e-82,1.4284398182438962,0.624,0.351,1.6373850844221805e-77,Klf2
2.6789394644790302e-81,-0.6932573393478725,0.754,0.886,5.483253295895679e-77,Hmgn1
4.368010888483009e-81,-2.0763748763901946,0.252,0.532,8.940444686547023e-77,Fabp5
8.59621466045636e-81,1.276711825081048,0.556,0.272,1.7594732167022078e-76,Nr4a2
1.103659172485769e-80,-0.813016787460024,0.59,0.804,2.2589695942438717e-76,Tma7
5.009229271327284e-80,0.8347872900674369,0.872,0.702,1.0252890472552685e-75,Ldlrad4
1.2976080767583993e-79,0.9695124498618923,0.876,0.766,2.6559442115090915e-75,Nbl1
2.034574234745503e-79,-1.223234173822076,0.282,0.593,4.164366543677095e-75,Nfib
2.4286723027462412e-79,-1.280050287715214,0.268,0.57,4.971006469261006e-75,Enah
2.9097573451263755e-79,1.7141268157385998,0.453,0.195,5.955691334004666e-75,Fxyd5
3.303316258262101e-79,1.0011731581057455,0.682,0.405,6.761227717410868e-75,Arl6ip5
4.833478247414719e-79,3.298195296791361,0.206,0.034,9.893163276808448e-75,Cyp26b1
2.484463816288429e-78,-0.6653710088491229,0.766,0.893,5.085200539179157e-74,Atp5g1
3.3680183185195206e-78,1.4876411580431177,0.809,0.702,6.8936598943457546e-74,Col8a1
6.428305582104042e-78,2.711119315366787,0.238,0.051,1.3157455865450553e-73,Mgll
1.0594505422719104e-77,1.6671715459204457,0.403,0.155,2.1684833699221462e-73,Slc44a2
4.805189117697751e-77,-0.6485141258449134,0.739,0.899,9.835261086103757e-73,Tmem258
8.193099058382746e-77,1.5258626601684837,0.483,0.224,1.6769635152697805e-72,Slc29a1
8.512253729217212e-77,-0.70179560151982745,0.742,0.913,1.742288093296179e-72,Calm1
8.589089770393972e-77,1.9948775789926039,0.413,0.171,1.7580148942042381e-72,Aqp1
1.3097608440697643e-76,-0.7254999199072975,0.729,0.885,2.6808184956419936e-72,Ckap4
2.956623733644429e-76,3.7307749611703644,0.15,0.013,6.051617458023417e-72,Fgd5
6.85934811019088e-75,0.8885575779594383,0.755,0.517,1.4039713711938694e-70,Ahnak
7.471623553469644e-75,-0.6026054586373595,0.802,0.909,1.5292919089241666e-70,Txndc5
8.390661808822537e-75,3.3289880422841396,0.201,0.034,1.717400659029797e-70,Col11a2
1.6578501972033579e-74,-0.6917345775874597,0.772,0.923,3.3932877836358327e-70,Tpm4
4.634364492468609e-74,-0.5511053118824563,0.929,0.977,9.48561724318475e-70,Rcn3
4.742366407191654e-74,0.40107243863877473,1,0.997,9.706675562239877e-70,Eef1a1
8.55332001975009e-74,-1.0064839175549942,0.549,0.768,1.7506935416424484e-69,Lpp
4.135648755861814e-73,1.887096291990378,0.308,0.094,8.464845873497961e-69,Arntl
4.2808674770512995e-73,2.268826994956133,0.318,0.106,8.7620795520286e-69,Hip1
1.20231271154113e-72,-0.5352563494527991,0.837,0.933,2.4608936579823848e-68,Cox6b1
1.818597608143689e-72,-0.8176152163182029,0.453,0.75,3.7223055843485025e-68,Ptn
3.841332283665752e-72,-0.5618804712630254,0.895,0.963,7.862438918207062e-68,Cfl1
1.694283696273989e-70,-1.8686511082258865,0.122,0.393,3.4678598695336004e-66,Ank3
2.0574457635715034e-70,5.698997262436909,0.193,0.033,4.211179988878153e-66,Col2a1
2.216338465936052e-70,2.661239435026124,0.193,0.034,4.5364015720779113e-66,Sdc3
2.692977255527145e-70,1.3635611908315661,0.634,0.416,5.511985846612961e-66,Rflnb
4.691161596994643e-70,1.3834123621877148,0.533,0.276,9.601869556728635e-66,Xylt1
1.6153239709311158e-69,0.3611672825185135,0.998,1,3.3062451037018076e-65,Bgn
4.965743707840312e-69,-1.8572383172331275,0.13,0.394,1.0163884221207552e-64,Cemip2
4.666943902957232e-68,-0.42914829549782985,0.982,0.994,9.552300780572862e-64,Myl6
8.441255947478407e-68,-0.45795946292225986,0.95,0.978,1.7277562673298804e-63,Arf4
1.7208593601885462e-67,-0.3712422181797401,0.973,0.984,3.522254938433916e-63,Sec61g
4.216340325465886e-67,-0.9830425724270303,0.54,0.738,8.630005378163576e-63,Slc25a5
5.60536301356354e-67,-0.4352000844426809,0.935,0.963,1.1473057016161853e-62,Chchd2
6.960036174770459e-67,1.4474298324094463,0.42,0.182,1.4245802042520176e-62,Mbnl1
8.309691062113914e-67,1.0326315662031824,0.629,0.371,1.7008275665934758e-62,Myo1e
1.699400500192149e-66,0.8563765320769632,0.842,0.734,3.4783329437932902e-62,Gpx1
4.112093801557972e-66,1.3843922433149185,0.404,0.168,8.416633593028858e-62,Ndrg4
1.954945580113288e-65,-0.9719816796012627,0.617,0.789,4.001382613375878e-61,Csrp1
9.9369131801081e-65,0.32407648760470487,0.995,0.992,2.033887389704526e-60,Eif1
1.2152041700656372e-64,-1.353548708593981,0.223,0.494,2.487279895290346e-60,Arid5b
1.2607685534360595e-64,-0.3285908406958229,0.979,0.98,2.580541075172927e-60,Rpl15
2.3683389776568455e-64,0.45818305306716756,1,0.999,4.847516219468031e-60,Col1a2
6.083216775897644e-64,1.138555737502722,0.536,0.285,1.2451128096907297e-59,Sema3c
8.354274634935397e-64,-2.35562970410718,0.104,0.35,1.709952932278577e-59,Ptx3
1.2683234549075622e-63,-0.809672974910399,0.509,0.743,2.5960044475047984e-59,Emilin1
1.513599180613155e-63,-0.8128057548756084,0.519,0.744,3.0980348028790056e-59,Hnrnpa2b1
1.5808098338486735e-63,1.0618030885683323,0.724,0.558,3.235601567921465e-59,Clic4
2.9769399065154044e-63,1.4288171768320734,0.346,0.128,6.0932006006557295e-59,Aqp5
