p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.2698096255940447e-72,0.5662594236328231,0.612,0.451,2.5990463416658907e-68,3,Ap2s1
1.331787838680124e-72,1.2538945765642744,0.139,0.053,2.725903348210478e-68,3,Kcnn4
2.133959378090578e-72,1.0119969908809743,0.241,0.121,4.367788055075795e-68,3,Nfkbib
1.0995588173070936e-71,0.9348381980097031,0.237,0.117,2.250576987264159e-67,3,Anks1
1.279564437756553e-71,0.9891453398723784,0.237,0.119,2.6190124912001124e-67,3,Fundc1
1.4480408934702775e-71,1.978555036642737,0.058,0.013,2.963850100754964e-67,3,Gm38843
1.6631750375272524e-71,1.0009889264836898,0.255,0.132,3.40418666681078e-67,3,Impact
1.7661714944359521e-71,0.8603033269234934,0.314,0.176,3.614999814811507e-67,3,Tent2
1.8779225746857644e-71,0.6166762882326264,0.485,0.318,3.843731925866823e-67,3,Lamtor4
2.8485557406626706e-71,0.7706832309077077,0.38,0.229,5.830423889988354e-67,3,Cflar
3.2457495552098297e-71,0.26175148417690264,0.806,0.648,6.643400189603479e-67,3,Btg1
4.1163226365978685e-71,0.5969132718375912,0.512,0.346,8.425289172588517e-67,3,Sdhb
7.219507102527982e-71,0.8776970478169615,0.265,0.138,1.4776887137454273e-66,3,Arap1
1.1141497179834027e-70,0.3880828589216386,0.778,0.653,2.2804416427684287e-66,3,Slc25a5
1.15664899998317e-70,1.1637169108014045,0.17,0.073,2.3674291731655524e-66,3,Asl
1.2690932596546014e-70,1.0513505281706605,0.221,0.108,2.5975800838610383e-66,3,Enox2
1.555838206293114e-70,0.6731918146645046,0.358,0.207,3.184489640640746e-66,3,Scarb2
2.4302599250996952e-70,1.718114796489727,0.07,0.018,4.974256014694056e-66,3,2310040G24Rik
2.725420538927221e-70,0.7879432901922685,0.339,0.196,5.578390759076236e-66,3,Anxa4
3.780389659861568e-70,0.6005316483461676,0.48,0.315,7.737701555804656e-66,3,Psme2
3.8789668424031826e-70,0.8416024857191537,0.298,0.164,7.939469333030835e-66,3,Mia2
4.4490761119841835e-70,1.4865137569940963,0.109,0.037,9.106368986009226e-66,3,Slc25a45
6.197273529792182e-70,1.127213479408176,0.201,0.095,1.268457946077864e-65,3,Ocrl
6.811896755137685e-70,0.7110411027464028,0.406,0.251,1.3942590278415813e-65,3,Tor1aip1
6.995702765790284e-70,1.3057515131513489,0.106,0.035,1.4318804421019553e-65,3,Coro2a
1.3278769560564058e-69,0.8974741690292823,0.246,0.125,2.7178985536562516e-65,3,Isg15
1.385351571182419e-69,1.0024952713207673,0.266,0.142,2.8355375958961752e-65,3,Pcyt1a
1.6371116873905732e-69,1.046819815973153,0.233,0.117,3.350840201751025e-65,3,Hist3h2a
2.2776768264433297e-69,2.082682941436705,0.068,0.017,4.661948928364207e-65,3,Oasl1
3.181284218496168e-69,1.0143154285141844,0.191,0.087,6.511452538417957e-65,3,Abi3
3.247981522491765e-69,0.3245292240700076,0.898,0.869,6.647968580236145e-65,3,Pfdn5
3.5718445519808246e-69,0.9469187176287592,0.239,0.121,7.310851428994352e-65,3,Sdccag8
4.0384411756287105e-69,1.0097057106830614,0.195,0.09,8.265881398276844e-65,3,Hdac9
4.3942588822164117e-69,0.8617715287589645,0.276,0.148,8.994169080120552e-65,3,Nampt
5.114628869650193e-69,0.8932458746694674,0.209,0.099,1.0468622370400016e-64,3,Atg7
6.726673712954612e-69,0.5858255459227985,0.453,0.286,1.37681557556755e-64,3,Atp1a1
1.0637288420792464e-68,1.3094467743017284,0.133,0.051,2.1772401939678018e-64,3,Hps3
1.1821988996022345e-68,1.30343722959052,0.13,0.05,2.4197247077058535e-64,3,1600014C10Rik
1.34407637523714e-68,2.176169849015656,0.052,0.011,2.751055524835378e-64,3,Spic
1.5150222523685127e-68,0.6332982846388915,0.28,0.146,3.100947546147872e-64,3,Bcl2l11
2.09577385229543e-68,0.9467882642269367,0.242,0.123,4.2896299208782865e-64,3,Dnajc13
2.521852503011161e-68,1.4355786563892874,0.118,0.043,5.161727703163244e-64,3,Paox
2.7097453460096592e-68,1.5155339609706857,0.093,0.029,5.5463067742125704e-64,3,Adap1
2.889378609804242e-68,0.3736156721293593,0.278,0.147,5.913980138547323e-64,3,Ccl2
4.562918338563497e-68,0.8021469240141577,0.196,0.09,9.339381255371765e-64,3,Tnfrsf21
4.675828665094363e-68,0.8851070026479728,0.307,0.175,9.570486111715142e-64,3,Dse
5.361801268832483e-68,2.0995378044825284,0.052,0.011,1.0974534837046327e-63,3,Card9
7.834633009839244e-68,0.6237744911303191,0.443,0.282,1.6035926844538964e-63,3,Lrrfip1
9.06243791154823e-68,1.1653971744658085,0.12,0.044,1.8548997917356917e-63,3,Gas2l3
2.022200547109263e-67,0.2596338058188734,0.99,0.985,4.1390400798232393e-63,3,Rps25
2.3544073626507993e-67,0.793691049454091,0.344,0.204,4.819000989873656e-63,3,Tmem219
